mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,precipitation_mm,global_radiation_w_m2,JT10,JT20,evaporation_mm,month,day,ID,Station
12.6,10.7,15.6,88.5,8.0,3.3,13.3,13.5,0.5,9.0,9.0,193,Apelsvoll
13.6,10.9,17.4,80.7,19.0,9.8,13.4,13.4,1.3,9.0,10.0,194,Apelsvoll
10.7,9.2,11.7,86.7,9.6,2.2,12.9,13.2,0.3,9.0,11.0,195,Apelsvoll
11.2,7.4,15.9,61.0,0.0,13.0,12.0,12.5,2.0,9.0,12.0,196,Apelsvoll
10.9,7.0,15.6,62.9,0.0,9.9,11.5,12.1,1.6,9.0,13.0,197,Apelsvoll
11.4,7.6,15.6,67.7,0.0,9.2,11.5,11.9,1.4,9.0,14.0,198,Apelsvoll
9.9,5.4,13.4,63.1,0.0,8.9,11.3,11.7,1.4,9.0,15.0,199,Apelsvoll
8.9,3.7,13.5,71.7,1.0,8.8,10.7,11.2,1.2,9.0,16.0,200,Apelsvoll
11.4,9.2,14.4,70.3,0.0,6.4,10.9,11.2,1.1,9.0,17.0,201,Apelsvoll
15.0,11.1,20.3,75.0,0.2,6.9,11.4,11.4,1.2,9.0,18.0,202,Apelsvoll
16.9,14.8,20.8,67.1,0.0,11.2,12.4,12.1,2.0,9.0,19.0,203,Apelsvoll
12.5,8.1,16.8,55.5,0.0,12.4,12.2,12.3,2.2,9.0,20.0,204,Apelsvoll
9.1,6.1,14.2,82.0,18.2,2.3,11.0,11.6,0.4,9.0,21.0,205,Apelsvoll
10.2,7.2,15.1,61.6,0.2,11.2,10.5,11.0,1.7,9.0,22.0,206,Apelsvoll
7.7,2.0,10.8,63.6,0.0,5.9,10.1,10.7,0.9,9.0,23.0,207,Apelsvoll
5.7,0.8,9.9,53.9,0.0,12.0,8.9,9.8,1.5,9.0,24.0,208,Apelsvoll
7.0,1.3,11.2,60.4,0.0,5.6,8.0,9.0,1.0,9.0,25.0,209,Apelsvoll
11.2,6.1,17.1,53.9,0.0,8.6,8.5,8.9,1.6,9.0,26.0,210,Apelsvoll
6.2,3.4,8.6,76.8,7.1,1.7,8.0,8.7,0.3,9.0,27.0,211,Apelsvoll
5.3,1.7,9.8,61.7,0.1,9.6,7.4,8.2,1.1,9.0,28.0,212,Apelsvoll
7.0,2.7,11.5,63.4,0.0,4.1,7.0,7.7,0.9,9.0,29.0,213,Apelsvoll
8.8,4.6,13.9,60.9,0.0,9.1,7.1,7.6,1.3,9.0,30.0,214,Apelsvoll
-1.0,-5.9,4.4,59.9,0.0,8.2,-0.1,0.3,0.0,3.0,1.0,215,Apelsvoll
-0.6,-5.0,4.7,67.1,0.7,5.0,0.0,0.3,0.0,3.0,2.0,216,Apelsvoll
-0.3,-1.9,2.0,95.9,9.7,2.0,0.0,0.3,0.0,3.0,3.0,217,Apelsvoll
-1.9,-2.7,-0.7,95.5,3.5,2.0,0.0,0.3,0.0,3.0,4.0,218,Apelsvoll
